Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Price,ranking,Value,vendas_normalizada,Grupo,link
8.6,7.7,8.8,8.1,8.7,8.7,8.4,CHEVROLET,MERIVA,2012,7,24990.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/2058_1.png
8.5,7.7,8.0,9.2,8.9,7.2,9.3,HYUNDAI,TUCSON,2019,7,137900.0,52.0,2.653,0.029602767239455482,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/125829_1.png
9.2,7.8,8.8,9.7,9.3,8.7,9.5,MITSUBISHI,PAJERO DAKAR,2015,4,101473.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/18485_1.png
8.5,8.5,5.5,9.0,9.0,9.0,9.0,VOLKSWAGEN,SPACEFOX,2019,7,66710.0,53.0,2.511,0.028018299486721715,3,
8.6,7.2,7.8,9.3,9.1,7.1,8.3,FIAT,TORO,2019,6,90990.0,,0.0,0.0,4,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/125882_1.png
8.9,8.5,8.4,8.9,8.9,8.3,8.5,CHEVROLET,COBALT,2019,7,59990.0,38.0,8.309,0.09271367998214684,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/131824_1.png
9.3,7.8,7.8,8.8,9.3,6.3,8.0,FIAT,STILO,2011,7,23423.0,,0.0,0.0,2,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/1536_1.png
8.2,8.5,8.1,9.2,8.7,8.1,8.0,CITROËN,C3,2019,7,50390.0,47.0,3.639,0.040604775719705416,0,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/127678_1.png
9.7,7.6,8.8,9.6,9.7,9.0,8.9,CITROËN,AIRCROSS,2019,7,59290.0,49.0,2.951,0.03292791787547422,2,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/127782_1.png
9.2,7.8,8.8,9.2,9.2,9.0,9.5,FIAT,STRADA,2019,7,43590.0,,0.0,0.0,3,
7.4,8.2,8.6,8.5,8.2,9.1,8.0,FIAT,SIENA,2016,7,34429.0,36.0,8.545,0.09534702075429592,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/43031_1.png
8.7,6.3,7.8,9.4,8.9,7.5,8.7,VOLKSWAGEN,NEW BEETLE,2010,4,39175.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/4689_1.png
7.5,6.6,8.1,9.5,8.4,6.8,7.6,JAC,J6,2016,4,59990.0,,0.0,0.0,2,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/55547_1.png
8.5,9.0,8.5,9.0,9.5,7.0,9.5,MITSUBISHI,PAJERO FULL,2019,7,201990.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130325_1.png
7.5,5.6,8.6,8.5,8.8,8.1,8.4,FIAT,PALIO WEEKEND,2014,7,31688.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/13270_1.png
8.7,8.4,8.7,9.5,9.1,8.7,8.6,CHEVROLET,PRISMA,2019,7,49590.0,6.0,32.015,0.3572305288997991,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/130591_1.png
9.1,7.7,8.9,9.1,9.4,7.6,8.9,PEUGEOT,307 SEDAN,2011,7,26005.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/2712_1.png
8.9,8.6,8.7,9.4,9.3,8.2,9.1,PEUGEOT,206,2010,7,15372.0,,0.0,0.0,3,
8.3,7.9,8.4,8.5,8.9,8.2,8.4,VOLKSWAGEN,POLO SEDAN,2014,7,34603.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/12011_1.png
9.0,9.8,10.0,9.2,9.8,9.8,9.5,CHEVROLET,OMEGA,2011,7,55891.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/7956_1.png
8.7,8.9,8.4,9.2,9.4,8.4,9.1,VOLKSWAGEN,GOLF,2018,7,91790.0,65.0,1.7209999999999999,0.0192033028341888,1,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/132219_1.png
,,,,,,,VOLKSWAGEN,PASSAT,2018,4,178130.0,,0.0,0.0,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/121171_1.png
7.7,7.7,9.3,9.0,9.0,7.7,6.7,LIFAN,X60,2019,7,68990.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/125073_1.png
9.2,8.0,9.5,8.5,9.5,9.4,9.4,CHEVROLET,ASTRA SEDAN,2011,7,26528.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/7952_1.png
8.7,6.5,8.5,9.5,8.8,8.8,9.3,FORD,F-250,2011,3,86777.0,,0.0,0.0,3,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/3388_1.png
8.6,7.4,4.4,7.6,7.8,3.8,8.4,RENAULT,SCENIC,2011,7,25891.0,,0.0,0.0,3,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/3096_1.png
8.7,7.7,7.8,8.6,9.0,7.7,8.0,CITROËN,C3 PICASSO,2015,4,38172.0,,0.0,0.0,2,https://img0.icarros.com/dbimg/galeriaimgmodelo/1/24407_1.png
8.4,8.5,7.5,8.7,8.8,8.0,8.0,FIAT,ARGO,2019,3,45990.0,10.0,27.983,0.3122405713010489,3,
8.0,8.7,8.3,8.7,9.2,8.0,8.5,FORD,NEW FIESTA HATCH,2018,7,56690.0,,0.0,0.0,4,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/123947_1.png
9.4,7.4,8.7,9.6,9.5,7.7,9.4,FORD,EDGE,2018,7,249800.0,,0.0,0.0,4,https://img1.icarros.com/dbimg/galeriaimgmodelo/1/124282_1.png
6.1,8.2,6.8,7.1,7.1,6.8,6.8,RENAULT,CLIO,2016,7,21370.0,,0.0,0.0,3,https://img2.icarros.com/dbimg/galeriaimgmodelo/1/38450_1.png
